CREATED_DATE;TRANSACTION_ID;USER_ID;LOẠI GIAO DỊCH;GIÁ TRỊ GIAO DỊCH;TÊN SẢN PHẨM
2023-04-10;1;891;Nạp;2600000;CHỨNG KHOÁN
2023-04-10;2;956;Nạp;650000;TÀI KHOẢN TIỀN FINHAY
2023-04-11;3;548;Rút;650000;CHỨNG KHOÁN
2023-04-11;4;452;Rút;650000;CHỨNG KHOÁN
2023-04-11;5;458;Nạp;650000;CHỨNG KHOÁN
2023-04-12;6;477;Nạp;650000;CHỨNG KHOÁN
2023-04-12;7;924;Rút;6500000;TÍCH LUỸ
2023-04-14;8;440;Rút;650000;CHỨNG KHOÁN
2023-04-14;9;369;Rút;650000;TÍCH LUỸ
2023-04-14;10;369;Rút;3250000;TÀI KHOẢN TIỀN FINHAY
2023-04-15;11;368;Rút;650000;CHỨNG KHOÁN
2023-04-15;12;365;Nạp;650000;TÀI KHOẢN TIỀN FINHAY
2023-04-16;13;770;Rút;15600000;TÀI KHOẢN TIỀN FINHAY
2023-04-17;14;425;Rút;650000;TÍCH LUỸ
2023-04-18;15;979;Nạp;26000000;CHỨNG KHOÁN
2023-04-18;16;624;Nạp;2600000;TÀI KHOẢN TIỀN FINHAY
2023-04-18;17;612;Nạp;1937000;TÀI KHOẢN TIỀN FINHAY
2023-04-18;18;390;Rút;650000;TÍCH LUỸ
2023-04-19;19;280;Nạp;3900000;CHỨNG KHOÁN
2023-04-19;20;435;Nạp;1846000;CHỨNG KHOÁN
2023-04-19;21;530;Rút;805415;TÀI KHOẢN TIỀN FINHAY
2023-04-19;22;336;Nạp;4148547;TÀI KHOẢN TIỀN FINHAY
2023-04-20;23;612;Nạp;1300000;TÀI KHOẢN TIỀN FINHAY
2023-04-21;24;224;Rút;650000;CHỨNG KHOÁN
2023-04-22;25;335;Nạp;130000;CHỨNG KHOÁN
2023-04-22;26;455;Rút;2340000;TÀI KHOẢN TIỀN FINHAY
2023-04-23;27;206;Nạp;650000;TÀI KHOẢN TIỀN FINHAY
2023-04-24;28;180;Rút;650000;CHỨNG KHOÁN
2023-04-24;29;337;Nạp;52000000;CHỨNG KHOÁN
2023-04-24;30;526;Rút;650000;CHỨNG KHOÁN
2023-04-25;31;186;Nạp;2600000;CHỨNG KHOÁN
2023-04-25;32;171;Rút;650000;CHỨNG KHOÁN
2023-04-25;33;778;Rút;5525000;CHỨNG KHOÁN
2023-04-25;34;624;Rút;4550000;CHỨNG KHOÁN
2023-04-25;35;598;Rút;13000000;CHỨNG KHOÁN
2023-04-26;36;174;Rút;13000000;CHỨNG KHOÁN
2023-04-26;37;145;Rút;260000;CHỨNG KHOÁN
2023-04-26;38;302;Rút;3496727;TÀI KHOẢN TIỀN FINHAY
2023-04-27;39;137;Rút;5200000;CHỨNG KHOÁN
2023-04-28;40;545;Nạp;6500000;CHỨNG KHOÁN
2023-04-28;41;124;Nạp;650000;TÀI KHOẢN TIỀN FINHAY
2023-04-28;42;190;Rút;12771148;TÀI KHOẢN TIỀN FINHAY
